0Bar Gegendruck
,Time,Pos/[cm],TOut/[°C],T1/[°C],T2/[°C],T3/[°C],T4/[°C],P1/[Bar],P2/[Bar]
0,12:11:05.142,12,24.2,31.7,30.3,31.3,30.0,79.6,72.9
1,12:11:05.194,12,24.2,31.7,30.3,31.3,29.9,79.2,73.3
2,12:11:05.246,12,24.2,31.7,30.3,31.3,30.0,79.2,73.3
3,12:11:05.298,12,24.2,31.7,30.3,31.3,30.0,79.2,72.9
4,12:11:05.350,12,24.2,31.7,30.3,31.2,30.0,79.6,72.9
5,12:11:05.402,12,24.2,31.7,30.3,31.2,29.9,79.6,72.6
6,12:11:05.454,12,24.2,31.8,30.3,31.2,29.8,79.9,72.6
7,12:11:05.506,12,24.2,31.8,30.3,31.2,29.8,79.6,72.9
8,12:11:05.558,13,24.2,31.7,30.4,31.2,29.8,79.2,72.9
9,12:11:05.610,13,24.2,31.8,30.3,31.2,29.8,79.2,73.3
10,12:11:05.662,13,24.2,31.9,30.4,31.2,29.8,79.6,72.9
11,12:11:05.712,13,24.2,31.9,30.4,31.2,29.8,79.6,72.9
12,12:11:05.763,13,24.2,31.9,30.4,31.2,29.8,79.6,72.6
13,12:11:05.813,13,24.2,31.9,30.4,31.2,29.8,79.9,72.6
14,12:11:05.863,13,24.2,31.9,30.5,31.2,29.8,79.9,72.6
15,12:11:05.913,13,24.2,31.9,30.5,31.2,29.8,79.6,72.9
16,12:11:05.963,13,24.2,31.8,30.5,31.2,29.8,79.2,73.3
17,12:11:06.012,13,24.2,31.8,30.5,31.2,29.8,79.2,73.3
18,12:11:06.063,13,24.2,31.8,30.5,31.2,29.8,79.6,72.9
19,12:11:06.113,13,24.2,31.8,30.5,31.2,29.8,79.6,72.6
20,12:11:06.163,13,24.2,31.8,30.6,31.2,29.8,79.6,72.6
21,12:11:06.213,13,24.2,31.8,30.6,31.2,29.8,79.9,72.6
22,12:11:06.262,13,24.2,31.8,30.6,31.2,29.8,79.6,72.9
23,12:11:06.314,13,24.2,31.8,30.6,31.2,29.8,79.6,72.9
24,12:11:06.363,13,24.2,31.8,30.6,31.2,29.7,79.2,73.3
25,12:11:06.413,13,24.2,31.8,30.6,31.2,29.7,79.6,73.3
26,12:11:06.463,14,24.2,31.8,30.6,31.2,29.7,79.6,72.9
27,12:11:06.513,13,24.2,31.8,30.6,31.2,29.7,79.6,72.9
28,12:11:06.563,14,24.2,31.8,30.6,31.2,29.7,79.9,72.6
29,12:11:06.612,14,24.2,31.8,30.6,31.2,29.7,79.9,72.6
30,12:11:06.663,14,24.2,31.8,30.6,31.2,29.7,79.6,72.9
31,12:11:06.713,14,24.2,31.9,30.6,31.2,29.7,79.2,73.3
32,12:11:06.763,14,24.2,31.9,30.8,31.2,29.7,79.6,73.3
33,12:11:06.813,14,24.2,31.8,30.8,31.2,29.7,79.6,73.3
34,12:11:06.863,14,24.2,31.7,30.8,31.1,29.7,79.6,72.9
35,12:11:06.913,14,24.2,31.7,30.8,31.1,29.7,79.6,72.9
36,12:11:06.963,14,24.2,31.7,30.8,31.1,29.7,79.9,72.6
37,12:11:07.013,14,24.2,31.7,30.8,31.1,29.7,79.6,72.9
38,12:11:07.062,14,24.2,31.7,30.8,31.1,29.7,79.6,72.9
39,12:11:07.113,14,24.2,31.7,30.8,31.1,29.7,79.6,73.3
40,12:11:07.163,14,24.2,31.8,30.8,31.1,29.7,79.6,73.3
41,12:11:07.213,14,24.2,31.7,30.8,31.1,29.7,79.6,73.3
42,12:11:07.263,14,24.2,31.7,30.8,31.1,29.7,79.6,72.9
43,12:11:07.313,14,24.2,31.8,30.8,31.0,29.6,79.9,72.9
44,12:11:07.363,14,24.2,31.8,30.9,31.0,29.6,79.9,72.6
45,12:11:07.413,14,24.2,31.7,30.9,31.1,29.6,79.9,72.9
46,12:11:07.463,14,24.2,31.8,30.9,31.1,29.6,79.6,73.3
47,12:11:07.513,14,24.2,31.8,30.9,31.1,29.7,79.6,73.3
48,12:11:07.563,14,24.2,31.8,30.9,31.0,29.6,79.6,73.3
49,12:11:07.613,14,24.2,31.8,30.9,31.1,29.5,79.6,72.9
50,12:11:07.662,14,24.2,31.8,30.9,31.1,29.5,79.9,72.9
51,12:11:07.713,14,24.2,31.8,31.1,31.1,29.5,79.9,72.9
52,12:11:07.762,14,24.2,31.7,31.1,31.1,29.5,79.9,72.6
53,12:11:07.813,14,24.2,31.7,31.1,31.1,29.5,79.9,72.9
54,12:11:07.863,14,24.2,31.8,31.1,31.1,29.5,79.6,73.3
55,12:11:07.913,15,24.2,31.7,31.1,31.1,29.5,79.6,73.3
56,12:11:07.962,15,24.2,31.7,31.1,31.1,29.5,79.6,73.3
57,12:11:08.012,15,24.2,31.7,31.1,31.1,29.5,79.6,73.3
58,12:11:08.063,15,24.2,31.8,31.1,31.1,29.5,79.9,72.9
59,12:11:08.113,15,24.2,31.9,31.1,31.1,29.5,79.9,72.9
60,12:11:08.163,15,24.2,31.9,31.1,31.1,29.5,79.9,72.6
61,12:11:08.213,15,24.2,31.9,31.1,31.1,29.4,79.9,72.9
62,12:11:08.263,15,24.2,31.9,31.1,31.1,29.4,79.9,73.3
63,12:11:08.313,15,24.2,31.9,31.2,31.1,29.4,79.6,73.3
64,12:11:08.363,15,24.2,31.9,31.2,31.1,29.4,79.9,72.9
65,12:11:08.413,15,24.2,31.9,31.2,31.2,29.4,79.9,72.9
66,12:11:08.462,15,24.2,31.9,31.2,31.2,29.4,79.9,72.6
67,12:11:08.512,15,24.2,31.9,31.2,31.2,29.4,79.9,72.6
68,12:11:08.563,15,24.2,31.9,31.2,31.2,29.4,80.2,72.6
69,12:11:08.613,15,24.2,31.9,31.2,31.2,29.4,79.9,72.9
70,12:11:08.663,15,24.2,31.9,31.2,31.2,29.4,79.9,73.3
71,12:11:08.712,15,24.2,31.9,31.2,31.2,29.4,79.9,73.3
72,12:11:08.763,15,24.2,31.9,31.2,31.2,29.3,79.9,72.9
73,12:11:08.813,15,24.2,31.9,31.2,31.2,29.3,79.9,72.9
74,12:11:08.863,15,24.2,31.9,31.2,31.2,29.3,79.9,72.9
75,12:11:08.913,15,24.2,31.9,31.4,31.2,29.4,80.2,72.6
76,12:11:08.962,15,24.2,31.9,31.4,31.2,29.4,80.2,72.6
77,12:11:09.013,16,24.2,31.9,31.4,31.2,29.3,79.9,72.9
78,12:11:09.063,16,24.2,32.0,31.4,31.2,29.3,79.9,73.3
79,12:11:09.112,16,24.2,32.0,31.4,31.2,29.3,79.9,73.3
80,12:11:09.163,16,24.2,32.0,31.4,31.2,29.3,79.9,73.3
81,12:11:09.213,16,24.2,32.0,31.4,31.2,29.3,79.9,72.9
82,12:11:09.263,16,24.2,32.0,31.4,31.2,29.4,79.9,72.9
83,12:11:09.312,16,24.2,32.0,31.4,31.2,29.4,80.2,72.6
84,12:11:09.363,16,24.2,32.0,31.4,31.2,29.4,80.2,72.6
85,12:11:09.413,16,24.2,32.0,31.4,31.2,29.3,79.9,72.9
86,12:11:09.462,16,24.2,32.0,31.4,31.2,29.3,79.9,73.3
87,12:11:09.512,16,24.2,32.0,31.4,31.2,29.3,79.9,73.3
88,12:11:09.563,16,24.2,32.0,31.4,31.2,29.3,79.9,72.9
89,12:11:09.613,16,24.2,31.9,31.4,31.2,29.4,79.9,72.9
90,12:11:09.663,16,24.2,32.0,31.4,31.2,29.4,80.2,72.9
91,12:11:09.713,16,24.2,32.0,31.4,31.2,29.3,80.2,72.6
92,12:11:09.762,16,24.2,32.0,31.4,31.2,29.3,80.2,72.6
93,12:11:09.813,16,24.2,31.9,31.5,31.2,29.3,80.2,72.9
94,12:11:09.863,17,24.2,32.0,31.5,31.2,29.3,79.9,73.3
95,12:11:09.913,17,24.2,32.0,31.5,31.3,29.3,79.9,73.3
96,12:11:09.963,17,24.2,32.0,31.5,31.3,29.3,79.9,72.9
97,12:11:10.013,17,24.2,32.0,31.5,31.3,29.3,80.2,72.9
98,12:11:10.062,17,24.2,32.0,31.5,31.3,29.3,80.2,72.9
99,12:11:10.113,17,24.2,32.0,31.6,31.3,29.3,80.5,72.6
100,12:11:10.163,17,24.2,32.1,31.6,31.3,29.3,80.2,72.6
101,12:11:10.213,17,24.2,32.1,31.6,31.3,29.3,80.2,72.9
102,12:11:10.263,17,24.2,32.1,31.6,31.3,29.3,79.9,72.9
103,12:11:10.313,17,24.2,32.1,31.6,31.3,29.3,80.2,72.9
104,12:11:10.362,17,24.2,32.1,31.6,31.3,29.3,80.2,72.9
105,12:11:10.413,17,24.2,32.2,31.6,31.3,29.3,80.5,72.6
106,12:11:10.463,17,24.2,32.1,31.6,31.3,29.3,80.5,72.6
107,12:11:10.512,17,24.2,32.1,31.6,31.3,29.3,80.5,72.6
108,12:11:10.563,17,24.2,32.2,31.6,31.3,29.3,80.5,72.6
109,12:11:10.612,17,24.2,32.1,31.6,31.3,29.3,80.5,72.6
110,12:11:10.663,17,24.2,32.1,31.6,31.3,29.3,80.5,72.6
111,12:11:10.712,17,24.2,32.1,31.6,31.3,29.3,80.5,72.6
112,12:11:10.763,17,24.2,32.2,31.7,31.3,29.3,80.5,72.6
113,12:11:10.813,17,24.2,32.2,31.7,31.3,29.3,80.5,72.6
114,12:11:10.863,17,24.2,32.2,31.7,31.2,29.3,80.5,72.3
115,12:11:10.912,17,24.2,32.2,31.7,31.2,29.3,80.5,72.3
116,12:11:10.963,17,24.2,32.2,31.7,31.2,29.3,80.5,72.3
117,12:11:11.012,17,24.2,32.2,31.7,31.2,29.3,80.5,72.3
118,12:11:11.063,17,24.2,32.2,31.8,31.2,29.3,80.8,72.3
119,12:11:11.113,17,24.2,32.2,31.8,31.2,29.3,80.5,72.3
120,12:11:11.163,17,24.2,32.2,31.8,31.2,29.3,80.5,72.3
121,12:11:11.214,17,24.2,32.2,31.8,31.2,29.3,80.8,72.3
122,12:11:11.263,17,24.2,32.2,31.8,31.2,29.2,80.8,72.3
123,12:11:11.313,17,24.2,32.2,31.8,31.2,29.2,80.8,72.3
124,12:11:11.363,17,24.2,32.2,31.9,31.2,29.2,80.8,72.3
125,12:11:11.412,17,24.2,32.2,31.9,31.2,29.2,80.8,72.3
126,12:11:11.463,17,24.2,32.2,31.9,31.2,29.2,80.8,72.3
127,12:11:11.513,17,24.2,32.1,31.9,31.2,29.1,80.8,72.3
128,12:11:11.563,17,24.2,32.1,31.9,31.2,29.1,80.8,72.3
129,12:11:11.612,17,24.2,32.1,31.9,31.2,29.1,80.8,72.3
130,12:11:11.663,17,24.2,32.2,31.9,31.2,29.1,80.8,72.3
131,12:11:11.712,17,24.2,32.2,31.9,31.2,29.1,80.8,72.3
132,12:11:11.763,17,24.2,32.3,31.9,31.2,29.1,80.8,72.3
133,12:11:11.812,17,24.2,32.3,32.0,31.2,29.1,80.8,72.3
134,12:11:11.866,18,24.2,32.3,32.0,31.2,29.1,80.8,72.3
135,12:11:11.912,18,24.2,32.3,31.9,31.2,29.1,80.8,72.3
136,12:11:11.963,18,24.2,32.3,32.0,31.2,29.1,80.8,72.6
137,12:11:12.013,17,24.2,32.3,32.0,31.2,29.1,80.8,72.6
138,12:11:12.063,18,24.2,32.4,32.0,31.3,29.1,80.8,72.6
139,12:11:12.113,18,24.2,32.4,32.0,31.3,29.1,80.8,72.3
140,12:11:12.163,18,24.2,32.4,32.0,31.3,29.0,77.3,78.6
141,12:11:12.213,18,24.2,32.4,32.0,31.3,28.9,77.7,78.0
142,12:11:12.264,18,24.2,32.4,32.2,31.3,28.9,77.7,78.3
143,12:11:12.313,18,24.2,32.4,32.2,31.3,28.9,77.7,78.3
144,12:11:12.363,18,24.2,32.5,32.2,31.3,28.9,77.7,78.3
145,12:11:12.413,18,24.2,32.6,32.2,31.3,28.9,78.0,78.3
146,12:11:12.463,18,24.2,32.5,32.2,31.3,28.9,78.0,78.3
147,12:11:12.512,18,24.2,32.5,32.2,31.3,28.9,78.0,78.3
148,12:11:12.563,18,24.2,32.6,32.3,31.3,28.9,78.0,78.3
149,12:11:12.613,18,24.2,32.5,32.3,31.3,28.9,78.0,78.6
150,12:11:12.663,18,24.2,32.6,32.3,31.2,28.9,78.0,78.6
151,12:11:12.713,18,24.2,32.6,32.3,31.2,28.9,78.3,78.6
152,12:11:12.763,18,24.2,32.6,32.3,31.2,28.9,78.3,78.6
153,12:11:12.812,18,24.2,32.6,32.3,31.2,28.9,78.3,78.6
154,12:11:12.863,18,24.2,32.6,32.3,31.2,28.9,78.3,78.6
155,12:11:12.913,18,24.2,32.6,32.4,31.2,28.9,78.3,78.6
156,12:11:12.963,18,24.2,32.6,32.4,31.2,28.9,78.3,78.9
157,12:11:13.013,18,24.2,32.6,32.3,31.2,28.9,78.6,78.9
158,12:11:13.063,18,24.2,32.6,32.4,31.2,28.9,78.6,78.6
159,12:11:13.113,18,24.2,32.7,32.4,31.2,28.8,78.6,78.9
160,12:11:13.163,18,24.2,32.6,32.4,31.2,28.9,78.6,78.9
161,12:11:13.213,18,24.2,32.7,32.4,31.2,28.9,78.6,78.9
162,12:11:13.263,18,24.2,32.7,32.5,31.2,28.8,78.6,78.9
163,12:11:13.313,18,24.2,32.7,32.5,31.2,28.8,78.6,78.9
164,12:11:13.363,18,24.2,32.7,32.5,31.2,28.9,78.6,78.9
165,12:11:13.413,18,24.2,32.7,32.5,31.2,28.8,78.6,78.9
166,12:11:13.463,18,24.2,32.7,32.5,31.2,28.9,78.6,78.9
167,12:11:13.512,18,24.2,32.7,32.4,31.2,28.9,78.6,78.9
168,12:11:13.563,18,24.2,32.7,32.4,31.3,28.8,78.6,78.9
169,12:11:13.613,18,24.2,32.7,32.5,31.3,28.9,78.6,78.9
170,12:11:13.663,18,24.2,32.7,32.5,31.3,28.9,78.6,78.9
171,12:11:13.712,18,24.2,32.7,32.4,31.3,28.9,78.6,78.9
172,12:11:13.763,18,24.2,32.7,32.5,31.3,28.9,78.6,78.9
173,12:11:13.813,18,24.2,32.7,32.5,31.3,28.8,78.6,78.9
174,12:11:13.863,18,24.2,32.7,32.4,31.3,28.8,78.6,78.9
175,12:11:13.913,18,24.2,32.7,32.4,31.4,28.8,78.6,79.2
176,12:11:13.963,18,24.2,32.8,32.4,31.4,28.9,78.6,78.9
177,12:11:14.013,18,24.2,32.8,32.4,31.4,28.8,78.6,78.9
178,12:11:14.063,18,24.2,32.8,32.4,31.4,28.8,78.9,79.2
179,12:11:14.113,18,24.2,32.8,32.6,31.4,28.8,78.6,78.9
180,12:11:14.163,18,24.2,32.7,32.6,31.6,28.8,78.6,78.9
181,12:11:14.213,18,24.2,32.8,32.6,31.6,28.8,78.6,79.2
182,12:11:14.262,18,24.2,32.8,32.6,31.6,28.8,78.6,79.2
183,12:11:14.313,18,24.2,32.8,32.6,31.7,28.9,78.9,79.2
184,12:11:14.363,18,24.2,32.8,32.6,31.6,28.8,78.6,79.2
185,12:11:14.412,18,24.2,32.7,32.6,31.6,28.8,78.6,79.2
186,12:11:14.463,18,24.2,32.8,32.6,31.8,28.9,78.6,78.9
187,12:11:14.513,18,24.2,32.7,32.6,31.9,28.9,78.6,79.2
188,12:11:14.563,18,24.2,32.7,32.6,31.9,28.8,78.6,78.9
189,12:11:14.613,18,24.2,32.7,32.6,31.9,28.9,78.9,78.9
190,12:11:14.662,18,24.2,32.7,32.6,31.9,28.9,78.6,78.9
191,12:11:14.713,18,24.2,32.7,32.7,31.9,28.9,78.6,78.9
192,12:11:14.763,18,24.2,32.7,32.7,31.9,28.9,78.6,78.9
193,12:11:14.813,18,24.2,32.8,32.7,32.0,28.9,78.6,78.9
194,12:11:14.863,18,24.2,32.8,32.7,32.0,28.9,78.6,78.9
195,12:11:14.913,18,24.2,32.8,32.7,32.0,29.0,78.6,78.9
196,12:11:14.963,18,24.2,32.8,32.7,32.0,29.0,78.6,78.9
197,12:11:15.012,18,24.2,32.8,32.7,32.0,29.0,78.6,78.9
198,12:11:15.062,18,24.2,32.8,32.7,32.0,29.0,78.6,78.9
199,12:11:15.112,18,24.2,32.9,32.7,32.2,29.0,78.6,78.9
200,12:11:15.162,18,24.2,32.9,32.7,32.2,29.0,78.6,78.9
201,12:11:15.212,18,24.2,32.9,32.7,32.2,29.1,78.6,78.9
202,12:11:15.262,18,24.2,32.9,32.7,32.2,29.1,78.6,78.9
203,12:11:15.312,18,24.2,32.9,32.7,32.2,29.1,78.6,78.9
204,12:11:15.362,18,24.2,32.9,32.7,32.2,29.1,78.6,78.9
205,12:11:15.413,18,24.2,32.9,32.7,32.4,29.1,78.6,78.9
206,12:11:15.463,18,24.2,33.0,32.7,32.4,29.1,78.6,78.9
207,12:11:15.512,18,24.2,32.9,32.7,32.3,29.1,78.6,78.9
208,12:11:15.562,18,24.2,32.9,32.7,32.3,29.1,78.6,78.9
209,12:11:15.613,18,24.2,32.9,32.7,32.3,29.1,78.6,78.6
210,12:11:15.663,18,24.2,32.9,32.7,32.3,29.1,78.6,78.9
211,12:11:15.713,18,24.2,33.0,32.7,32.5,29.1,78.6,78.9
212,12:11:15.763,18,24.2,33.0,32.7,32.5,29.1,78.6,78.6
213,12:11:15.813,18,24.2,33.0,32.7,32.5,29.1,78.6,78.9
214,12:11:15.863,18,24.2,33.0,32.7,32.5,29.2,78.6,78.6
215,12:11:15.913,18,24.2,33.0,32.7,32.5,29.1,78.6,78.6
216,12:11:15.963,18,24.2,33.0,32.6,32.5,29.2,78.3,78.6
217,12:11:16.013,18,24.2,32.9,32.6,32.6,29.1,78.3,78.6
218,12:11:16.063,18,24.2,32.9,32.6,32.6,29.1,78.3,78.6
219,12:11:16.113,18,24.2,33.0,32.6,32.7,29.2,78.6,78.6
220,12:11:16.163,18,24.2,32.9,32.6,32.7,29.2,78.3,78.6
221,12:11:16.213,18,24.2,32.9,32.6,32.6,29.2,78.3,78.6
222,12:11:16.263,18,24.2,32.9,32.7,32.7,29.2,78.3,78.6
223,12:11:16.313,18,24.2,33.0,32.7,32.8,29.2,78.3,78.6
224,12:11:16.363,18,24.2,32.9,32.7,32.8,29.2,78.3,78.6
225,12:11:16.413,18,24.2,32.9,32.7,32.8,29.2,78.3,78.6
226,12:11:16.463,18,24.2,32.9,32.7,32.8,29.1,78.3,78.6
227,12:11:16.513,18,24.2,33.0,32.7,32.8,29.1,78.3,78.3
228,12:11:16.563,18,24.2,32.9,32.7,32.8,29.1,78.3,78.3
229,12:11:16.613,18,24.2,32.9,32.7,32.9,29.1,78.0,78.3
230,12:11:16.663,18,24.2,33.0,32.7,32.9,29.1,78.0,78.3
231,12:11:16.712,18,24.2,32.9,32.7,32.9,29.1,78.0,78.3
232,12:11:16.763,18,24.2,32.9,32.7,32.9,29.1,78.0,78.3
233,12:11:16.813,18,24.2,32.9,32.7,32.9,29.1,78.0,78.3
234,12:11:16.863,18,24.2,32.9,32.8,32.9,29.1,78.0,78.3
235,12:11:16.913,18,24.2,32.9,32.7,32.8,29.0,78.0,78.3
236,12:11:16.963,18,24.2,32.9,32.8,32.8,29.1,78.0,78.3
237,12:11:17.013,18,24.2,32.9,32.7,32.8,29.1,78.0,78.3
238,12:11:17.063,18,24.2,32.9,32.7,32.9,29.2,78.0,78.3
239,12:11:17.113,18,24.2,32.9,32.7,32.9,29.2,78.0,78.0
240,12:11:17.163,18,24.2,32.9,32.8,32.8,29.2,78.0,78.0
241,12:11:17.213,18,24.2,32.9,32.9,33.0,29.2,77.7,78.3
242,12:11:17.263,18,24.2,32.9,32.9,33.0,29.2,77.7,78.0
243,12:11:17.312,18,24.2,32.9,32.9,33.0,29.2,77.7,78.0
244,12:11:17.363,18,24.2,33.0,32.9,33.0,29.3,77.7,78.0
245,12:11:17.413,18,24.2,32.9,32.9,33.0,29.3,77.7,78.0
246,12:11:17.463,18,24.2,32.9,32.8,33.0,29.3,77.7,78.0
247,12:11:17.513,18,24.2,32.9,32.8,33.0,29.3,77.7,78.0
248,12:11:17.563,18,24.2,33.0,32.8,33.0,29.3,77.7,78.0
249,12:11:17.613,18,24.2,32.9,32.8,33.0,29.3,77.7,77.7
250,12:11:17.663,18,24.2,32.9,32.8,33.0,29.4,77.7,77.7
251,12:11:17.713,18,24.2,32.9,32.8,32.9,29.4,77.7,77.7
252,12:11:17.763,18,24.2,32.9,32.8,33.0,29.4,77.3,77.7
253,12:11:17.814,18,24.2,33.0,32.8,33.1,29.4,77.3,77.7
254,12:11:17.863,18,24.2,32.9,32.8,33.1,29.4,77.3,77.7
255,12:11:17.913,18,24.2,32.9,32.8,33.1,29.4,77.3,77.7
256,12:11:17.963,18,24.2,32.9,32.8,33.1,29.5,77.3,77.7
257,12:11:18.013,18,24.2,33.0,32.8,33.1,29.5,77.3,77.7
258,12:11:18.063,18,24.2,32.9,32.9,33.1,29.5,77.3,77.3
259,12:11:18.113,18,24.2,32.9,32.9,33.1,29.5,77.3,77.3
260,12:11:18.162,18,24.2,32.9,32.9,33.3,29.5,77.3,77.3
261,12:11:18.213,18,24.2,33.0,32.9,33.3,29.5,77.3,77.3
262,12:11:18.263,18,24.2,32.9,32.9,33.3,29.5,77.3,77.3
263,12:11:18.313,18,24.2,32.9,32.9,33.3,29.5,77.3,77.3
264,12:11:18.362,18,24.2,32.9,32.9,33.3,29.5,77.0,77.3
265,12:11:18.412,18,24.2,32.9,32.9,33.3,29.5,77.0,77.3
266,12:11:18.463,18,24.2,33.0,32.9,33.3,29.5,77.0,77.3
267,12:11:18.513,18,24.2,32.9,32.8,33.3,29.5,77.0,77.3
268,12:11:18.563,18,24.2,32.9,32.9,33.3,29.5,77.0,77.3
269,12:11:18.613,18,24.2,32.9,32.9,33.3,29.5,77.0,77.3
270,12:11:18.664,18,24.2,32.9,32.9,33.3,29.5,77.0,77.0
271,12:11:18.713,18,24.2,32.9,32.9,33.3,29.5,77.0,77.0
272,12:11:18.763,18,24.2,32.9,32.9,33.3,29.5,76.7,77.0
273,12:11:18.813,18,24.2,33.0,32.9,33.3,29.5,77.0,77.0
274,12:11:18.863,18,24.2,32.9,32.9,33.3,29.5,76.7,77.0
275,12:11:18.913,18,24.2,32.9,32.9,33.3,29.5,76.7,77.0
276,12:11:18.962,18,24.2,32.9,32.9,33.3,29.5,76.7,77.0
277,12:11:19.013,18,24.2,32.9,32.9,33.3,29.5,76.7,77.0
278,12:11:19.063,18,24.2,32.9,32.9,33.2,29.5,76.7,77.0
279,12:11:19.113,18,24.2,33.0,32.9,33.2,29.5,76.7,77.0
280,12:11:19.163,18,24.2,32.9,32.9,33.2,29.5,76.7,76.7
281,12:11:19.213,18,24.2,32.9,32.9,33.2,29.5,76.4,76.7
282,12:11:19.263,18,24.2,32.9,32.9,33.2,29.5,76.4,76.7
283,12:11:19.313,18,24.2,32.9,32.9,33.2,29.5,76.4,76.7
284,12:11:19.363,18,24.2,33.0,32.9,33.2,29.5,76.4,76.7
285,12:11:19.413,18,24.2,32.9,32.9,33.2,29.5,76.4,76.7
286,12:11:19.463,18,24.2,32.9,32.9,33.2,29.5,76.4,76.7
287,12:11:19.512,18,24.2,32.9,32.9,33.2,29.5,76.4,76.7
288,12:11:19.563,18,24.2,32.9,32.9,33.2,29.5,76.4,76.7
289,12:11:19.613,18,24.2,32.9,32.9,33.2,29.6,76.1,76.7
290,12:11:19.663,18,24.2,32.9,32.9,33.1,29.5,76.1,76.7
291,12:11:19.713,18,24.2,32.9,32.9,33.2,29.5,76.1,76.7
292,12:11:19.763,18,24.2,32.9,32.9,33.2,29.5,76.1,76.7
293,12:11:19.813,18,24.2,32.9,32.9,33.2,29.5,76.1,76.7
294,12:11:19.863,18,24.2,32.9,33.0,33.2,29.5,76.1,76.7
295,12:11:19.913,18,24.2,32.9,32.9,33.2,29.5,76.1,76.7
296,12:11:19.963,18,24.2,32.9,32.9,33.2,29.5,76.1,76.7
297,12:11:20.013,18,24.2,32.9,32.9,33.2,29.5,76.1,76.7
298,12:11:20.062,18,24.2,32.9,32.9,33.2,29.5,75.8,77.0
299,12:11:20.112,18,24.2,32.9,32.9,33.2,29.7,75.8,76.7
300,12:11:20.162,18,24.2,32.9,32.9,33.2,29.7,75.8,77.0
301,12:11:20.213,18,24.2,32.9,32.8,33.2,29.7,75.8,76.7
302,12:11:20.263,18,24.2,32.9,32.8,33.2,29.7,75.8,77.0
303,12:11:20.313,18,24.2,32.8,32.8,33.3,29.7,75.8,77.0
304,12:11:20.363,18,24.2,32.8,32.8,33.3,29.7,75.8,77.0
305,12:11:20.413,18,24.2,32.8,32.7,33.3,29.7,75.8,77.0
306,12:11:20.463,18,24.2,32.9,32.7,33.3,29.7,75.8,77.0
307,12:11:20.513,18,24.2,32.8,32.7,33.3,29.7,75.5,77.0
308,12:11:20.563,18,24.2,32.8,32.7,33.3,29.7,75.5,77.0
309,12:11:20.613,18,24.2,32.8,32.7,33.2,29.7,75.5,77.0
310,12:11:20.662,18,24.2,32.8,32.7,33.2,29.7,75.5,77.3
311,12:11:20.713,18,24.2,32.8,32.7,33.2,29.7,75.5,77.3
312,12:11:20.762,18,24.2,32.8,32.7,33.2,29.7,75.5,77.3
313,12:11:20.813,18,24.2,32.8,32.7,33.2,29.7,75.1,77.3
314,12:11:20.862,18,24.2,32.8,32.7,33.2,29.7,75.1,77.3
315,12:11:20.913,18,24.2,32.7,32.7,33.2,29.7,75.1,77.3
316,12:11:20.962,18,24.2,32.7,32.7,33.2,29.7,75.1,77.3
317,12:11:21.013,18,24.2,32.7,32.7,33.2,29.7,75.1,77.3
318,12:11:21.062,18,24.2,32.7,32.7,33.2,29.7,75.1,77.3
319,12:11:21.113,18,24.2,32.7,32.6,33.2,29.7,74.8,77.3
320,12:11:21.163,18,24.2,32.7,32.6,33.2,29.7,74.8,77.3
321,12:11:21.213,18,24.2,32.6,32.6,33.1,29.7,74.8,77.3
322,12:11:21.263,18,24.2,32.6,32.6,33.1,29.7,74.8,77.7
323,12:11:21.313,18,24.2,32.6,32.6,33.1,29.7,74.8,77.3
324,12:11:21.363,18,24.2,32.7,32.6,33.1,29.6,74.8,77.7
325,12:11:21.413,18,24.2,32.7,32.6,33.1,29.6,74.5,77.7
326,12:11:21.463,18,24.2,32.6,32.6,33.1,29.6,74.5,77.7
327,12:11:21.513,18,24.2,32.6,32.6,33.1,29.6,74.5,77.3
328,12:11:21.563,18,24.2,32.7,32.6,33.1,29.6,74.5,77.7
329,12:11:21.613,18,24.2,32.6,32.6,33.1,29.6,74.5,77.7
330,12:11:21.663,18,24.2,32.6,32.6,33.1,29.5,74.5,77.7
331,12:11:21.713,18,24.2,32.6,32.6,33.1,29.5,74.5,77.3
332,12:11:21.763,18,24.2,32.7,32.6,33.1,29.5,74.5,77.7
333,12:11:21.813,18,24.2,32.7,32.6,33.1,29.5,74.5,77.7
334,12:11:21.862,18,24.2,32.7,32.6,33.1,29.6,74.2,77.7
335,12:11:21.913,18,24.2,32.7,32.6,33.1,29.5,74.2,77.7
336,12:11:21.964,18,24.2,32.7,32.5,33.1,29.5,74.2,77.3
337,12:11:22.013,18,24.2,32.7,32.6,33.1,29.5,74.2,77.7
338,12:11:22.063,18,24.2,32.7,32.6,33.1,29.5,74.2,77.3
339,12:11:22.112,18,24.2,32.7,32.6,32.9,29.5,74.2,77.3
340,12:11:22.163,18,24.2,32.7,32.6,32.9,29.5,73.9,77.3
341,12:11:22.213,18,24.2,32.7,32.6,32.9,29.5,74.2,77.3
342,12:11:22.263,18,24.2,32.7,32.6,32.9,29.6,73.9,77.3
343,12:11:22.313,18,24.2,32.7,32.6,32.9,29.6,73.9,77.3
344,12:11:22.363,18,24.2,32.7,32.6,32.9,29.6,73.9,77.3
345,12:11:22.413,18,24.2,32.7,32.6,32.9,29.6,73.9,77.3
346,12:11:22.463,18,24.2,32.6,32.6,32.9,29.6,73.9,77.3
347,12:11:22.513,18,24.2,32.6,32.6,32.9,29.6,73.9,77.3
